Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
COSMOS 1782,21:24:34,NE,42°,21:27:35,NNE,10°
THOR DELTA 1 R/B,21:24:59,SW,58°,21:29:06,NNW,10°
STARLINK-1262,21:26:00,WSW,16°,21:33:24,NE,10°
H-2 R/B,21:26:43,S,29°,21:38:42,NNW,10°
STARLINK-3054,21:27:49,NNW,13°,21:31:32,WNW,89°
STARLINK-2546,21:29:36,NW,18°,21:32:36,NE,68°
COSMOS 1933,21:34:39,NE,57°,21:38:00,NNE,10°
COSMOS 2219,21:52:31,NW,22°,21:57:03,SW,42°
CUSAT 2 & FALCON 9 R/B,21:59:45,ESE,65°,22:05:29,NNE,10°
COSMOS 2278,22:33:30,W,70°,22:39:34,NNE,10°
