Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
STARLINK-1436,21:16:32,NW,14°,21:22:07,SE,28°
STARLINK-1755,21:16:56,SW,14°,21:24:31,ENE,10°
STARLINK-4516,21:17:07,NW,14°,21:22:44,ESE,26°
STARLINK-1450,21:17:35,NW,14°,21:23:19,ESE,25°
STARLINK-2076,21:17:42,NW,14°,21:23:22,ESE,28°
STARLINK-4055,21:17:44,SSW,13°,21:24:52,ENE,10°
STARLINK-2444,21:18:19,SSW,13°,21:25:43,ENE,10°
SPOT 5,21:18:55,SE,22°,21:26:44,N,10°
COSMOS 1862,21:18:58,N,14°,21:25:11,S,18°
METOP-B,21:19:19,SSE,21°,21:28:12,N,10°
STARLINK-1460,21:19:51,NW,20°,21:24:43,ESE,26°
STARLINK-4577,21:20:01,WNW,13°,21:25:33,SSE,28°
STARLINK-4084,21:20:18,SW,13°,21:28:03,NE,10°
STARLINK-2488,21:20:59,SW,13°,21:28:50,NE,10°
STARLINK-3923,21:21:12,NW,13°,21:26:46,SE,31°
STARLINK-3240,21:21:33,SW,12°,21:29:16,ENE,10°
STARLINK-1399,21:21:54,WNW,13°,21:27:30,SE,30°
STARLINK-1687,21:22:12,SW,13°,21:30:05,ENE,10°
STARLINK-4116,21:22:53,SSW,12°,21:30:25,ENE,10°
STARLINK-4303,21:23:07,NW,18°,21:28:00,ESE,30°
STARLINK-2465,21:23:31,SSW,12°,21:31:16,ENE,10°
STARLINK-2077,21:23:43,NW,18°,21:28:41,ESE,31°
STARLINK-1288,21:24:52,SSW,11°,21:32:24,ENE,10°
STARLINK-1410,21:25:16,NW,19°,21:30:07,ESE,29°
STARLINK-3976,21:25:36,SW,12°,21:33:34,NE,10°
STARLINK-4585,21:26:17,WNW,19°,21:30:49,SSE,31°
STARLINK-3338,21:26:47,SW,11°,21:34:47,ENE,10°
STARLINK-4410,21:27:18,SE,30°,21:32:44,N,10°
STARLINK-3887,21:27:19,NW,17°,21:32:06,SE,34°
STARLINK-1741,21:27:30,SW,11°,21:35:39,NE,10°
STARLINK-4021,21:28:05,SSW,10°,21:35:58,ENE,10°
STARLINK-3251,21:28:07,SW,10°,21:36:14,ENE,10°
STARLINK-1393,21:28:11,WNW,18°,21:32:50,SSE,33°
CZ-4C R/B,21:28:17,NNE,10°,21:31:11,E,39°
